job_id,job_title,company,location,company_size,industry,experience_required,education,posted_date,skills,salary,applications,views
JOB_000025,Frontend Developer,Infosys,Gurugram,Startup,Consulting,9,Bachelor,2025-12-16 15:09:05.910294,"PostgreSQL,GCP,AWS,MongoDB,JIRA,REST API",10.43,478,2882
JOB_000026,Cloud Engineer,Microsoft,Mumbai,Mid,Consulting,13,Master,2026-02-19 15:09:05.910296,"Deep Learning,Spark,Communication,Power BI",19.75,421,1812
JOB_000027,Frontend Developer,Flipkart,Noida,Mid,Logistics,3,PhD,2026-06-01 15:09:05.910297,"React,GCP",9.62,66,2667
JOB_000028,Technical Lead,HCL,Bangalore,Enterprise,Education,11,PhD,2026-02-04 15:09:05.910298,"PyTorch,Power BI",39.51,240,302
JOB_000029,Python Developer,Wipro,Gurugram,Small,Consulting,4,Bootcamp,2025-11-24 15:09:05.910300,"Pandas,TensorFlow,JIRA,Power BI,REST API,FastAPI,JavaScript,Hadoop",11.14,234,2882
JOB_000030,Software Engineer,HCL,Delhi,Small,Manufacturing,14,PhD,2026-05-02 15:09:05.910301,"Django,REST API,Communication,PyTorch,PostgreSQL,TensorFlow,Scikit-learn",20.35,125,1248
JOB_000031,Technical Lead,Startup_E,Bangalore,Small,Healthcare,10,Diploma,2026-09-18 15:09:05.910302,"Tableau,Kafka",24.96,48,2468
JOB_000032,Cloud Engineer,Capgemini,Hyderabad,Startup,Logistics,0,Master,2026-07-02 15:09:05.910304,"JIRA,AWS,Problem Solving,Java,Linux",6.62,227,4921
JOB_000033,Machine Learning Engineer,Unacademy,Chennai,Small,Healthcare,1,PhD,2025-09-29 15:09:05.910305,"Scikit-learn,TensorFlow,Tableau,Linux",10.11,168,4315
JOB_000034,Senior Developer,Apple,Pune,Enterprise,Education,10,Bootcamp,2026-02-17 15:09:05.910306,"Agile,TensorFlow,Scikit-learn,Kafka,GCP,Deep Learning",29.87,461,542
JOB_000035,Frontend Developer,Startup_C,Delhi,Enterprise,Consulting,7,Bachelor,2026-03-31 15:09:05.910308,"Communication,FastAPI,Agile,Kafka,Tableau,SQL,NumPy",13.95,89,4378
JOB_000036,Business Analyst,Google,Noida,Startup,Technology,0,Master,2026-05-02 15:09:05.910309,"Problem Solving,Scikit-learn",5.04,463,3966
JOB_000037,DevOps Engineer,Flipkart,Gurugram,Small,Finance,2,Bootcamp,2026-07-04 15:09:05.910310,"Kafka,JIRA,REST API,Agile,R",11.4,253,932
JOB_000038,Senior Developer,Startup_D,Delhi,Large,Logistics,1,Bootcamp,2026-06-03 15:09:05.910311,"Deep Learning,PyTorch,SQL,NumPy",18.11,487,2075
JOB_000039,Data Engineer,TCS,Hyderabad,Large,Manufacturing,9,Master,2026-04-02 15:09:05.910313,"SQL,Problem Solving,Pandas",16.55,365,4167
JOB_000040,Software Engineer,HCL,Gurugram,Mid,E-commerce,4,Bootcamp,2026-07-31 15:09:05.910314,"Docker,GCP,AWS,Agile,Power BI,Django,Scikit-learn,Spark",12.2,453,2012
JOB_000041,Solutions Architect,Startup_E,Pune,Startup,Education,11,Bachelor,2026-08-05 15:09:05.910315,"Excel,NumPy,Scikit-learn,GCP,Pandas,PostgreSQL,Docker",24.06,260,4411
JOB_000042,Python Developer,Cognizant,Noida,Large,Logistics,3,Bachelor,2026-03-11 15:09:05.910317,"Pandas,SQL,MongoDB,Scikit-learn,JavaScript,Machine Learning",12.26,52,1355
JOB_000043,Technical Lead,Google,Bangalore,Mid,Consulting,3,PhD,2026-08-03 15:09:05.910318,"Azure,Deep Learning,React,GraphQL,Node.js,Excel",21.92,126,1578
JOB_000044,DevOps Engineer,Google,Jaipur,Enterprise,Technology,12,Diploma,2026-03-22 15:09:05.910319,"GraphQL,Spark,TensorFlow,Agile,Hadoop,Tableau,Pandas",19.3,65,1929
JOB_000045,Python Developer,IBM,Delhi,Mid,Logistics,3,PhD,2026-03-29 15:09:05.910320,"PostgreSQL,NumPy,GCP,JavaScript,GraphQL,Node.js,Pandas",10.1,271,3974
JOB_000046,Machine Learning Engineer,TCS,Pune,Small,Technology,10,Diploma,2025-11-16 15:09:05.910322,"PyTorch,Scikit-learn,AWS,Angular,Django,Hadoop,Azure",19.91,222,2979
JOB_000047,Backend Engineer,Flipkart,Hyderabad,Small,E-commerce,3,Master,2026-05-09 15:09:05.910323,"Linux,Excel,Pandas,AWS,Deep Learning,Django",12.11,379,1067
JOB_000048,AI/ML Engineer,Flipkart,Delhi,Enterprise,Logistics,3,Bootcamp,2026-08-30 15:09:05.910324,"Hadoop,Django,FastAPI,REST API,Statistics,PyTorch,TensorFlow,Kubernetes",17.9,207,3574
JOB_000049,Python Developer,Google,Mumbai,Startup,Education,5,PhD,2026-01-29 15:09:05.910326,"Node.js,AWS,Deep Learning,Angular,Kubernetes,TensorFlow",10.44,294,636
JOB_000050,Technical Lead,TCS,Mumbai,Small,Finance,1,Bootcamp,2025-12-21 15:09:05.910329,"REST API,Problem Solving,Java",15.39,147,181
JOB_000051,Business Analyst,Amazon,Noida,Small,Manufacturing,12,PhD,2026-07-20 15:09:05.910330,"JavaScript,Pandas,Problem Solving,MongoDB",13.08,12,4272
JOB_000052,Machine Learning Engineer,Startup_C,Bangalore,Mid,Finance,12,PhD,2026-03-12 15:09:05.910332,"Git,REST API,Node.js,Linux",22.09,299,4497
JOB_000053,AI/ML Engineer,Swiggy,Noida,Mid,Education,14,Bachelor,2026-08-12 15:09:05.910333,"Java,Tableau,Spark,Power BI",21.51,145,4484
JOB_000054,Python Developer,Cognizant,Noida,Mid,Healthcare,3,Diploma,2025-12-13 15:09:05.910335,"Power BI,R,Scikit-learn,Communication,Python,REST API,React",9.71,300,278
JOB_000055,Software Engineer,Cognizant,Chennai,Large,Manufacturing,13,Master,2026-04-24 15:09:05.910336,"Django,Git,Excel,JIRA,Communication,Spark,TensorFlow,Angular",16.21,159,4634
JOB_000056,Junior Developer,Cognizant,Bangalore,Enterprise,Consulting,6,Bootcamp,2025-11-04 15:09:05.910337,"Linux,TensorFlow,React,Spark,Communication,Pandas,Leadership,GraphQL",12.28,155,1030
JOB_000057,Senior Developer,Startup_C,Chennai,Startup,Finance,6,PhD,2025-11-09 15:09:05.910339,"Azure,Power BI,Spark,TensorFlow,Node.js,Django,Machine Learning",16.84,441,4653
JOB_000058,DevOps Engineer,Meta,Gurugram,Mid,Healthcare,0,Bootcamp,2026-03-20 15:09:05.910340,"Machine Learning,Java,Deep Learning,Linux,React,Tableau",11.88,215,1019
JOB_000059,Software Engineer,Capgemini,Pune,Startup,Education,9,Bachelor,2025-11-30 15:09:05.910341,"JIRA,MongoDB,Spark,Kafka,REST API,React,Statistics",12.14,410,1839
JOB_000060,DevOps Engineer,Cognizant,Pune,Mid,Consulting,11,Master,2026-06-15 15:09:05.910343,"AWS,Deep Learning,Statistics",20.55,22,1226
JOB_000061,Junior Developer,Swiggy,Bangalore,Small,Technology,8,Diploma,2025-09-26 15:09:05.910344,"GraphQL,Git,Deep Learning,FastAPI,JavaScript,Leadership,Statistics",8.04,53,243
JOB_000062,Product Manager,Startup_E,Bangalore,Startup,Education,6,Diploma,2026-08-17 15:09:05.910345,"PyTorch,Python,Problem Solving,Leadership,PostgreSQL",18.59,115,936
JOB_000063,Technical Lead,Microsoft,Gurugram,Large,Technology,10,PhD,2026-08-29 15:09:05.910347,"Node.js,Pandas,Hadoop,GraphQL,React,Kafka",35.61,148,2951
JOB_000064,Senior Developer,Meta,Pune,Mid,Logistics,5,Master,2025-10-18 15:09:05.910348,"Spark,Pandas,Communication,Java,GraphQL,Statistics,REST API",19.89,354,4229
JOB_000065,Product Manager,Startup_D,Gurugram,Enterprise,Education,13,Diploma,2026-05-28 15:09:05.910350,"NumPy,Azure,Power BI",32.43,167,2646
JOB_000066,Cloud Engineer,Flipkart,Jaipur,Small,Manufacturing,1,Master,2026-04-26 15:09:05.910351,"Scikit-learn,GCP",6.2,67,1884
JOB_000067,Senior Developer,OYO,Hyderabad,Mid,Healthcare,5,Bootcamp,2026-08-12 15:09:05.910353,"GCP,Leadership,Angular,Kubernetes",20.67,344,2321
JOB_000068,Product Manager,Wipro,Mumbai,Startup,Consulting,4,Bachelor,2026-05-25 15:09:05.910354,"Java,Docker,PyTorch,Power BI,Node.js,Communication",17.24,223,2419
JOB_000069,Data Scientist,OYO,Jaipur,Mid,Healthcare,8,Master,2026-08-01 15:09:05.910355,"Linux,Kubernetes,PyTorch,Django,MongoDB,Pandas",15.03,108,3236
JOB_000070,Frontend Developer,Accenture,Noida,Small,Consulting,11,Master,2026-03-11 15:09:05.910356,"GraphQL,Communication,Pandas",13.15,458,4297
JOB_000071,Cloud Engineer,Capgemini,Delhi,Enterprise,Manufacturing,0,Diploma,2026-05-02 15:09:05.910358,"Scikit-learn,Django,NumPy,Node.js,Angular,Kafka,SQL,Azure",12.93,176,3512
JOB_000072,Data Scientist,Startup_B,Chennai,Enterprise,Education,4,PhD,2026-02-01 15:09:05.910359,"Django,PyTorch,Node.js,Power BI,GCP,Pandas,JavaScript,Angular",18.57,196,1181
JOB_000073,Business Analyst,Cognizant,Kolkata,Enterprise,Technology,2,PhD,2025-10-31 15:09:05.910360,"Angular,Kubernetes,Node.js,PyTorch",9.38,108,4698
JOB_000074,DevOps Engineer,Unacademy,Delhi,Small,Education,8,Bootcamp,2026-03-19 15:09:05.910361,"Power BI,Machine Learning,REST API,JavaScript,Leadership",13.93,56,2080
JOB_000075,Analytics Engineer,Capgemini,Bangalore,Mid,Technology,11,Diploma,2026-06-30 15:09:05.910363,"Statistics,AWS",15.19,207,800
JOB_000076,Solutions Architect,Swiggy,Hyderabad,Small,Healthcare,0,Diploma,2026-03-16 15:09:05.910364,"Agile,Problem Solving,Java",11.46,393,2930
JOB_000077,DevOps Engineer,IBM,Jaipur,Small,E-commerce,5,Bachelor,2026-03-24 15:09:05.910366,"React,REST API,Docker,PyTorch,Machine Learning,JIRA,FastAPI",10.78,104,263
JOB_000078,Data Engineer,Accenture,Kolkata,Mid,Finance,2,PhD,2026-06-06 15:09:05.910367,"Azure,NumPy,Communication,Tableau,AWS",10.39,27,545
JOB_000079,Data Engineer,Wipro,Kolkata,Large,Healthcare,0,Diploma,2025-10-13 15:09:05.910369,"PostgreSQL,TensorFlow,REST API,NumPy,Tableau,Kafka,Python,JIRA",8.42,201,3466
JOB_000080,Data Scientist,Startup_B,Bangalore,Enterprise,Education,10,Bootcamp,2026-05-08 15:09:05.910370,"JIRA,Power BI,Django,Problem Solving,GCP",25.81,136,571
JOB_000081,Full Stack Developer,HCL,Jaipur,Startup,Education,14,Bachelor,2025-09-27 15:09:05.910371,"TensorFlow,Tableau",9.51,325,1542
JOB_000082,AI/ML Engineer,Startup_B,Kolkata,Startup,Technology,2,PhD,2025-10-07 15:09:05.910372,"JIRA,Python",8.32,285,3105
JOB_000083,Frontend Developer,IBM,Jaipur,Mid,Finance,14,PhD,2025-10-25 15:09:05.910374,"Kafka,PostgreSQL",13.14,448,4511
JOB_000084,Cloud Engineer,Uber,Chennai,Startup,Consulting,1,PhD,2026-08-16 15:09:05.910375,"Java,Git,FastAPI,Azure,MongoDB",7.46,257,4454
JOB_000085,Frontend Developer,Swiggy,Chennai,Large,Healthcare,9,Bachelor,2025-11-14 15:09:05.910376,"Power BI,REST API,Git",10.18,495,3827
JOB_000086,Cloud Engineer,Google,Kolkata,Small,Manufacturing,11,Bootcamp,2025-10-31 15:09:05.910377,"Node.js,NumPy,Git,Communication,Hadoop",11.67,321,3946
JOB_000087,DevOps Engineer,Paytm,Kolkata,Enterprise,Finance,11,Bootcamp,2026-06-26 15:09:05.910379,"Deep Learning,PostgreSQL,Kubernetes",16.01,110,4661
JOB_000088,Business Analyst,Startup_A,Bangalore,Startup,Logistics,11,Diploma,2025-12-22 15:09:05.910380,"FastAPI,Git,Leadership,Angular,Deep Learning",12.49,242,2701
JOB_000089,Machine Learning Engineer,Startup_B,Jaipur,Startup,Finance,7,Diploma,2026-05-19 15:09:05.910381,"GCP,React",8.73,307,1901
JOB_000090,Data Scientist,Accenture,Pune,Mid,Healthcare,2,PhD,2026-06-30 15:09:05.910382,"REST API,Pandas,Communication,Agile",10.83,473,3110
JOB_000091,Junior Developer,Microsoft,Gurugram,Mid,Technology,10,Master,2026-01-28 15:09:05.910384,"PostgreSQL,GraphQL,TensorFlow,NumPy,Leadership,Java,Communication",10.08,319,1466
JOB_000092,Full Stack Developer,Wipro,Gurugram,Small,Consulting,6,Diploma,2026-03-11 15:09:05.910385,"Linux,Hadoop,REST API,Spark,Leadership,R",8.7,187,1133
JOB_000093,Data Engineer,Uber,Delhi,Enterprise,Technology,9,Bootcamp,2026-05-06 15:09:05.910387,"Kafka,Deep Learning,FastAPI,Agile,GraphQL",24.51,22,3667
JOB_000094,Business Analyst,Unacademy,Delhi,Startup,Manufacturing,5,PhD,2025-10-29 15:09:05.910388,"Communication,JavaScript,Deep Learning,Kafka,React,Kubernetes",9.46,479,260
JOB_000095,DevOps Engineer,Amazon,Kolkata,Small,Technology,14,Bootcamp,2025-10-04 15:09:05.910390,"JavaScript,REST API,Leadership,Django,Agile,SQL",12.56,41,3547
JOB_000096,Data Engineer,Startup_B,Mumbai,Enterprise,E-commerce,6,PhD,2025-12-10 15:09:05.910391,"Azure,PostgreSQL,Angular,JIRA,R,TensorFlow",20.19,401,2858
JOB_000097,Data Scientist,Startup_A,Chennai,Small,Finance,10,Bachelor,2026-06-01 15:09:05.910392,"Statistics,Power BI,NumPy,R,Leadership,PyTorch,Pandas,Communication",14.86,129,4356
JOB_000098,Data Engineer,Meta,Noida,Startup,E-commerce,6,Diploma,2025-10-06 15:09:05.910393,"Kafka,React,SQL,Django,Agile",11.0,479,3269
JOB_000099,Full Stack Developer,Microsoft,Jaipur,Mid,Technology,9,Bachelor,2026-04-08 15:09:05.910395,"JIRA,Deep Learning,MongoDB,Angular,GCP,Excel,Machine Learning,GraphQL",11.91,160,248
JOB_000100,Senior Developer,Paytm,Hyderabad,Mid,Consulting,0,Diploma,2026-08-24 15:09:05.910396,"Node.js,Agile,JIRA,Hadoop",12.99,51,2813
JOB_000101,Software Engineer,Swiggy,Hyderabad,Mid,Healthcare,3,Bootcamp,2026-05-27 15:09:05.910397,"Python,AWS,Kafka,NumPy,GCP,Spark",11.86,349,2869
JOB_000102,Data Engineer,Wipro,Chennai,Large,Finance,3,Bootcamp,2026-09-05 15:09:05.910398,"Django,React,Statistics,Angular,PyTorch",13.63,480,4114
JOB_000103,Data Scientist,Startup_C,Delhi,Small,Healthcare,4,Master,2026-04-13 15:09:05.910400,"REST API,Scikit-learn,Power BI,Machine Learning,PostgreSQL,JavaScript,MongoDB",13.29,410,3558
JOB_000104,Full Stack Developer,Airbnb,Bangalore,Startup,Education,13,Bootcamp,2026-02-28 15:09:05.910401,"Spark,Statistics,TensorFlow,Linux,AWS",13.6,283,274
JOB_000105,Software Engineer,Accenture,Hyderabad,Small,Finance,9,PhD,2026-05-07 15:09:05.910402,"Angular,Tableau,Kubernetes,MongoDB,Node.js",12.67,411,350
JOB_000106,Frontend Developer,Startup_B,Kolkata,Mid,Healthcare,4,Master,2026-08-19 15:09:05.910403,"SQL,GraphQL,Linux,R,Java,React,Node.js",9.55,52,2098
JOB_000107,Cloud Engineer,TCS,Mumbai,Small,Technology,7,PhD,2026-06-05 15:09:05.910405,"React,Problem Solving,Machine Learning,Pandas,PostgreSQL",13.11,381,3961
JOB_000108,Senior Developer,Paytm,Hyderabad,Enterprise,E-commerce,3,Master,2025-12-05 15:09:05.910406,"Docker,Kafka,Scikit-learn,Machine Learning,FastAPI,Power BI,MongoDB",21.6,436,662
JOB_000109,Senior Developer,Startup_C,Gurugram,Small,Healthcare,12,PhD,2026-04-13 15:09:05.910408,"Statistics,PyTorch,Agile,React,Java",25.83,422,2845
JOB_000110,AI/ML Engineer,Infosys,Mumbai,Large,Manufacturing,0,Master,2026-06-05 15:09:05.910409,"Django,GraphQL,REST API,Azure,FastAPI,Leadership,R,Kubernetes",16.7,124,3501
JOB_000111,Product Manager,HCL,Mumbai,Large,Consulting,14,Diploma,2025-10-21 15:09:05.910411,"Azure,Agile,AWS",30.36,251,699
JOB_000112,Frontend Developer,Startup_A,Hyderabad,Mid,Logistics,4,Diploma,2026-01-09 15:09:05.910412,"React,Deep Learning,Linux",8.06,217,3283
JOB_000113,Solutions Architect,Accenture,Bangalore,Startup,Education,0,Master,2026-03-03 15:09:05.910413,"GCP,JIRA,Communication,TensorFlow,Python,Leadership",11.41,133,1847
JOB_000114,Python Developer,Flipkart,Bangalore,Enterprise,Technology,11,Bachelor,2025-10-27 15:09:05.910414,"Python,React,Tableau",16.87,154,1104
JOB_000115,Full Stack Developer,Startup_C,Delhi,Startup,Manufacturing,2,Master,2026-01-30 15:09:05.910416,"Linux,AWS,JIRA,Agile,Scikit-learn",9.34,319,1961
JOB_000116,Frontend Developer,TCS,Chennai,Startup,Education,14,Bachelor,2026-07-10 15:09:05.910417,"AWS,Java,Node.js,Azure,JavaScript,SQL,Tableau",13.42,214,123
JOB_000117,Product Manager,Startup_C,Kolkata,Enterprise,Consulting,7,PhD,2026-05-09 15:09:05.910418,"GraphQL,R,Django,MongoDB,Hadoop",19.13,479,1206
JOB_000118,Senior Developer,Amazon,Noida,Large,Consulting,9,Master,2026-07-12 15:09:05.910419,"Machine Learning,Angular,Linux",27.64,444,3532
JOB_000119,Analytics Engineer,OYO,Pune,Mid,E-commerce,14,Bachelor,2026-05-18 15:09:05.910421,"SQL,Power BI,Tableau,Communication,Python,Kubernetes,Machine Learning",17.24,422,1530
JOB_000120,Python Developer,Infosys,Noida,Small,Logistics,4,Master,2025-12-08 15:09:05.910422,"GraphQL,Python,AWS,PyTorch,Linux,Azure",11.25,237,1570
JOB_000121,Product Manager,Startup_A,Gurugram,Large,Education,6,Diploma,2025-12-20 15:09:05.910423,"R,Angular,AWS,Pandas,Communication,PyTorch,Git,Kubernetes",27.61,29,541
JOB_000122,Frontend Developer,Startup_D,Bangalore,Mid,Consulting,13,Diploma,2026-05-10 15:09:05.910425,"Communication,REST API,NumPy,MongoDB,Spark,React",16.43,406,3685
JOB_000123,Machine Learning Engineer,Wipro,Delhi,Large,Healthcare,0,Master,2025-11-26 15:09:05.910426,"Tableau,Node.js",8.32,225,1411
JOB_000124,AI/ML Engineer,Wipro,Gurugram,Enterprise,Consulting,5,Master,2026-02-14 15:09:05.910427,"Hadoop,Python,Kubernetes,Docker,TensorFlow,Kafka,Scikit-learn",22.26,22,4739
JOB_000125,Product Manager,Paytm,Noida,Startup,Consulting,11,Bootcamp,2025-11-27 15:09:05.910429,"Linux,JIRA,Problem Solving",20.24,203,2509
JOB_000126,Backend Engineer,OYO,Mumbai,Enterprise,Logistics,13,Diploma,2026-03-01 15:09:05.910430,"Leadership,AWS,Machine Learning,React,Java",26.84,170,2740
JOB_000127,Business Analyst,Flipkart,Chennai,Small,Healthcare,7,PhD,2026-03-20 15:09:05.910431,"PostgreSQL,NumPy,Scikit-learn,Power BI,Django",10.26,117,2873
JOB_000128,Business Analyst,Microsoft,Mumbai,Enterprise,Technology,5,Master,2026-06-01 15:09:05.910432,"Statistics,JavaScript",12.29,143,2584
JOB_000129,Analytics Engineer,Startup_B,Noida,Startup,E-commerce,3,Bootcamp,2026-07-13 15:09:05.910434,"AWS,Angular,Communication,JavaScript,JIRA,Spark,Java",8.72,40,3392
JOB_000130,Frontend Developer,IBM,Hyderabad,Large,E-commerce,10,Master,2026-01-04 15:09:05.910435,"Deep Learning,Docker,FastAPI",13.74,461,4639
JOB_000131,Data Scientist,Uber,Chennai,Mid,Finance,7,Diploma,2026-01-12 15:09:05.910437,"Tableau,Pandas,Kafka,Hadoop,AWS,Deep Learning",13.93,327,2118
JOB_000132,Data Scientist,Infosys,Delhi,Small,Manufacturing,14,Bachelor,2026-08-06 15:09:05.910438,"Statistics,Angular,Java,JavaScript",21.65,470,3422
JOB_000133,Product Manager,Unacademy,Jaipur,Large,Finance,7,Bachelor,2026-08-28 15:09:05.910440,"JIRA,Kubernetes",15.12,33,4630
JOB_000134,Cloud Engineer,Microsoft,Mumbai,Mid,Healthcare,13,Diploma,2026-07-27 15:09:05.910441,"GraphQL,JavaScript,PostgreSQL,Leadership,Django,Docker",22.64,415,1486
JOB_000135,Data Engineer,HCL,Hyderabad,Startup,Consulting,13,PhD,2026-07-05 15:09:05.910444,"SQL,Node.js,Python,TensorFlow,Statistics,GraphQL,Java,JavaScript",18.82,168,4097
JOB_000136,Frontend Developer,Apple,Gurugram,Enterprise,Education,5,Bootcamp,2025-11-04 15:09:05.910445,"PyTorch,Excel,Azure,Leadership,Git",13.59,294,3292
JOB_000137,Backend Engineer,Airbnb,Jaipur,Large,Consulting,7,Master,2026-07-02 15:09:05.910446,"FastAPI,Scikit-learn",12.42,442,371
JOB_000138,DevOps Engineer,Startup_B,Gurugram,Mid,Consulting,11,Master,2025-10-08 15:09:05.910448,"Java,SQL",19.33,425,4337
JOB_000139,Cloud Engineer,Cognizant,Bangalore,Mid,Education,5,Master,2026-02-17 15:09:05.910449,"NumPy,React,Statistics,Excel",14.08,417,3910
JOB_000140,Full Stack Developer,Startup_D,Jaipur,Enterprise,Technology,14,Bootcamp,2025-11-20 15:09:05.910450,"NumPy,Git,JIRA,Leadership,Power BI,Django",17.32,203,1144
JOB_000141,Data Scientist,OYO,Chennai,Large,E-commerce,3,Bootcamp,2026-08-20 15:09:05.910452,"Scikit-learn,GCP,Spark,PyTorch",14.39,243,1859
JOB_000142,AI/ML Engineer,Microsoft,Bangalore,Large,Logistics,10,Diploma,2026-03-08 15:09:05.910453,"MongoDB,Linux",23.51,105,4168
JOB_000143,Business Analyst,Wipro,Chennai,Startup,Healthcare,11,Bootcamp,2026-03-10 15:09:05.910454,"Power BI,Angular,R,Docker,Statistics,Linux",9.98,75,4793
JOB_000144,Senior Developer,Uber,Kolkata,Large,Education,5,Master,2025-11-20 15:09:05.910455,"Azure,Git,Agile",15.54,420,3475
JOB_000145,Cloud Engineer,Startup_C,Hyderabad,Enterprise,Logistics,14,Master,2026-01-25 15:09:05.910457,"Leadership,GCP",20.66,287,2866
JOB_000146,Solutions Architect,Infosys,Noida,Large,Finance,8,Bootcamp,2025-12-25 15:09:05.910458,"REST API,AWS,Azure,GCP",23.3,285,2716
JOB_000147,Solutions Architect,Google,Gurugram,Startup,Healthcare,7,Bootcamp,2026-05-16 15:09:05.910459,"JavaScript,Power BI,Java,Tableau",17.85,480,2675
JOB_000148,Business Analyst,Startup_E,Noida,Mid,Technology,14,Diploma,2025-12-12 15:09:05.910461,"Angular,Kubernetes,REST API,JavaScript",15.1,132,1094
JOB_000149,Frontend Developer,IBM,Jaipur,Large,Healthcare,13,Bachelor,2026-09-16 15:09:05.910463,"JavaScript,PyTorch,Excel,Python",15.54,194,2721
JOB_000150,Machine Learning Engineer,Startup_C,Mumbai,Enterprise,Education,6,Bootcamp,2025-10-08 15:09:05.910464,"Kubernetes,Docker,JIRA,Java",19.83,384,509
